Cite,Full,Null reference,Null threshold
20.0,13.1,6.46946946947,6.5
21.0,14.1,6.65865865866,6.7
22.0,14.4,6.79279279279,7.2
23.0,15.1,7.01301301301,7.3
24.0,16.0,7.3,7.5
25.0,16.7,7.59459459459,7.8
26.0,17.0,7.6,8.2
27.0,18.1,7.9,8.1
28.0,18.8,8.2,8.5
29.0,19.1,8.46346346346,9.1
30.0,19.9,8.56756756757,9.3
31.0,21.0,8.86686686687,9.4
32.0,21.3,9.0,9.82482482482
33.0,22.2,9.35035035035,9.6
34.0,22.8,9.44944944945,10.5
35.0,22.8,9.7,10.2
36.0,23.9,10.0,10.9
37.0,24.5,10.3,10.8
38.0,24.8,10.4,11.6
39.0,25.6,10.7,11.6
40.0,26.5,10.7,12.2
41.0,27.4,11.2,12.1
42.0,27.8,11.3,12.4
43.0,28.2,11.5,12.7
44.0,29.1,11.7,12.5
45.0,29.8,12.0,13.3
46.0,29.0,12.3,14.0
47.0,29.8,12.5,14.0
48.0,31.3,12.7,14.3
49.0,32.4,13.0,13.3
50.0,31.6,13.2,14.9
51.0,32.9,13.4,14.5
52.0,33.4,13.9,15.4
53.0,34.2,14.0,15.2
54.0,34.4,14.3,15.2
55.0,36.3,14.6,15.6
56.0,36.2,14.8,16.1
57.0,36.4,15.1,16.4474474474
58.0,36.9,15.2,15.8
59.0,37.6,15.6,16.5
60.0,38.5,15.9,16.4
61.0,39.7,16.0,16.9
62.0,41.3,16.5,16.5
63.0,41.0,16.8,16.9
64.0,40.6,16.8,17.8
65.0,41.6,16.9,18.0480480480
66.0,43.2,17.2,17.6
67.0,42.4,17.5,17.8
68.0,42.4,17.5,19.1
69.0,43.9,18.0,18.8
70.0,45.9,18.0,17.3
71.0,44.5,18.2,19.7
72.0,44.3,18.5,20.6
73.0,46.0,18.6,19.7
74.0,46.7,18.8,20.4
75.0,47.6,18.9,19.6
76.0,48.2,19.1,20.3
77.0,49.8,19.3,19.7497497497
78.0,49.1,19.2,20.6
79.0,49.5,19.3,20.2
80.0,50.9,19.4,21.4
81.0,50.1,19.6,21.5
82.0,50.8,19.5,21.6
83.0,52.0,19.5,20.9
84.0,52.0,19.8,22.7
85.0,53.3,19.6,21.5
86.0,54.1,19.9,21.9
87.0,53.4,19.6,23.1
88.0,53.4,19.8,22.5
89.0,54.8,19.5,22.8
90.0,55.1,19.6,23.7
91.0,54.4,19.3,24.0
92.0,57.1,19.3,23.4
93.0,57.1,19.3,23.7
94.0,57.3713713714,19.0,23.9
95.0,58.4,18.7,23.4
96.0,57.2752752753,18.8,24.0
97.0,57.9,18.3,24.1
98.0,58.7,18.4,25.3
99.0,58.9,18.1,24.1
100.0,60.2,17.8,24.9
20.0,13.1,6.47947947948,6.5
21.0,14.1,6.66866866867,6.7
22.0,14.4,6.80280280280,7.2
23.0,15.1,7.02302302302,7.3
24.0,16.0,7.3,7.5
25.0,16.7,7.60460460460,7.8
26.0,17.0,7.6,8.2
27.0,18.1,7.9,8.1
28.0,18.8,8.2,8.5
29.0,19.1,8.47347347347,9.1
30.0,19.9,8.57757757758,9.3
31.0,21.0,8.87687687688,9.4
32.0,21.3,9.0,9.83183183183
33.0,22.2,9.36036036036,9.6
34.0,22.8,9.45945945946,10.5
35.0,22.8,9.7,10.2
36.0,23.9,10.0,10.9
37.0,24.5,10.3,10.9
38.0,24.8,10.4,11.6
39.0,25.6,10.7,11.7
40.0,26.5,10.7,12.2
41.0,27.4,11.2,12.1
42.0,27.8,11.3,12.4
43.0,28.2,11.5,12.7
44.0,29.1,11.7,12.5
45.0,29.8,12.1,13.3
46.0,29.0,12.3,14.0
47.0,29.8,12.5,14.0
48.0,31.3,12.7,14.3
49.0,32.4,13.0,13.3
50.0,31.6,13.2,14.9
51.0,32.9,13.5,14.5
52.0,33.4,13.9,15.4
53.0,34.2,14.0,15.2
54.0,34.4,14.3,15.2
55.0,36.3,14.6,15.6
56.0,36.2,14.8,16.1
57.0,36.4,15.1,16.4544544545
58.0,36.9,15.2,15.8
59.0,37.6,15.6,16.5
60.0,38.5,15.9,16.5
61.0,39.7,16.1,16.9
62.0,41.3,16.5,16.5
63.0,40.9,16.8,16.9
64.0,40.6,16.8,17.8
65.0,41.6,16.9,18.0550550551
66.0,43.2,17.2,17.6
67.0,42.4,17.5,17.8
68.0,42.4,17.5,19.1
69.0,43.9,18.0,18.8
70.0,45.9,18.0,17.3
71.0,44.5,18.2,19.7
72.0,44.3,18.5,20.6
73.0,46.0,18.6,19.7
74.0,46.7,18.8,20.4
75.0,47.6,18.9,19.6
76.0,48.2,19.1,20.3
77.0,49.8,19.3,19.7567567568
78.0,49.1,19.2,20.6
79.0,49.5,19.3,20.2
80.0,50.9,19.4,21.4
81.0,50.1,19.6,21.5
82.0,50.8,19.5,21.6
83.0,52.0,19.5,20.9
84.0,52.0,19.8,22.7
85.0,53.3,19.6,21.5
86.0,54.1,19.9,21.9
87.0,53.4,19.6,23.1
88.0,53.4,19.8,22.5
89.0,54.8,19.5,22.8
90.0,55.1,19.6,23.7
91.0,54.4,19.3,24.0
92.0,57.1,19.4,23.4
93.0,57.1,19.3,23.7
94.0,57.3633633634,19.0,23.9
95.0,58.4,18.8,23.4
96.0,57.2672672673,18.8,24.0
97.0,57.9,18.3,24.1
98.0,58.7,18.4,25.3
99.0,58.9,18.2,24.1
100.0,60.2,17.8,24.9
20.0,13.1,6.46146146146,6.5
21.0,14.1,6.65065065065,6.7
22.0,14.4,6.78478478478,7.2
23.0,15.1,7.00500500500,7.3
24.0,16.0,7.3,7.5
25.0,16.7,7.58658658659,7.8
26.0,17.0,7.6,8.2
27.0,18.1,7.9,8.1
28.0,18.8,8.2,8.5
29.0,19.1,8.45545545546,9.1
30.0,19.9,8.55955955956,9.3
31.0,21.0,8.85885885886,9.4
32.0,21.3,9.0,9.83283283283
33.0,22.2,9.34234234234,9.6
34.0,22.8,9.44144144144,10.5
35.0,22.8,9.7,10.2
36.0,23.9,10.0,10.9
37.0,24.5,10.2,10.9
38.0,24.8,10.4,11.6
39.0,25.6,10.7,11.7
40.0,26.5,10.7,12.2
41.0,27.4,11.2,12.1
42.0,27.8,11.3,12.4
43.0,28.2,11.5,12.7
44.0,29.1,11.7,12.5
45.0,29.8,12.0,13.3
46.0,29.0,12.3,14.0
47.0,29.8,12.5,14.0
48.0,31.3,12.6,14.3
49.0,32.4,13.0,13.3
50.0,31.6,13.2,14.9
51.0,32.9,13.4,14.5
52.0,33.4,13.9,15.4
53.0,34.2,14.0,15.2
54.0,34.4,14.3,15.2
55.0,36.3,14.5,15.6
56.0,36.2,14.8,16.1
57.0,36.4,15.0,16.4554554555
58.0,36.9,15.2,15.8
59.0,37.6,15.5,16.5
60.0,38.5,15.9,16.5
61.0,39.7,16.0,16.9
62.0,41.3,16.5,16.5
63.0,41.0,16.8,16.9
64.0,40.6,16.8,17.8
65.0,41.6,16.9,18.0560560561
66.0,43.2,17.2,17.6
67.0,42.4,17.5,17.8
68.0,42.4,17.5,19.1
69.0,43.9,17.9,18.8
70.0,45.9,18.0,17.3
71.0,44.5,18.2,19.7
72.0,44.3,18.5,20.6
73.0,46.0,18.5,19.7
74.0,46.7,18.8,20.4
75.0,47.6,18.9,19.6
76.0,48.2,19.1,20.3
77.0,49.8,19.3,19.7577577578
78.0,49.1,19.2,20.6
79.0,49.5,19.3,20.2
80.0,50.9,19.4,21.4
81.0,50.1,19.6,21.5
82.0,50.8,19.5,21.6
83.0,52.0,19.5,20.9
84.0,52.0,19.7,22.7
85.0,53.3,19.6,21.5
86.0,54.1,19.9,21.9
87.0,53.4,19.6,23.1
88.0,53.4,19.8,22.5
89.0,54.8,19.5,22.8
90.0,55.1,19.6,23.7
91.0,54.4,19.3,24.0
92.0,57.1,19.3,23.4
93.0,57.1,19.3,23.7
94.0,57.3703703704,19.0,23.9
95.0,58.4,18.7,23.4
96.0,57.2742742743,18.8,24.0
97.0,57.9,18.3,24.1
98.0,58.7,18.4,25.3
99.0,58.9,18.1,24.1
100.0,60.2,17.8,24.9
20.0,13.1,6.46046046046,6.5
21.0,14.1,6.64964964965,6.7
22.0,14.4,6.78378378378,7.2
23.0,15.1,7.00400400400,7.3
24.0,16.0,7.3,7.5
25.0,16.7,7.58558558559,7.8
26.0,17.0,7.6,8.2
27.0,18.1,7.9,8.1
28.0,18.8,8.2,8.5
29.0,19.1,8.45445445445,9.1
30.0,19.9,8.55855855856,9.3
31.0,21.0,8.85785785786,9.4
32.0,21.3,9.0,9.82082082082
33.0,22.2,9.34134134134,9.6
34.0,22.8,9.44044044044,10.5
35.0,22.8,9.7,10.2
36.0,23.9,10.0,10.9
37.0,24.5,10.2,10.8
38.0,24.8,10.4,11.6
39.0,25.6,10.7,11.6
40.0,26.5,10.7,12.2
41.0,27.4,11.2,12.1
42.0,27.8,11.3,12.4
43.0,28.2,11.5,12.7
44.0,29.1,11.7,12.5
45.0,29.8,12.0,13.3
46.0,29.0,12.3,14.0
47.0,29.8,12.5,14.0
48.0,31.3,12.6,14.3
49.0,32.4,13.0,13.3
50.0,31.6,13.2,14.9
51.0,32.9,13.4,14.5
52.0,33.4,13.9,15.4
53.0,34.2,14.0,15.2
54.0,34.4,14.3,15.2
55.0,36.3,14.5,15.6
56.0,36.2,14.8,16.1
57.0,36.4,15.0,16.4434434434
58.0,36.9,15.2,15.8
59.0,37.6,15.5,16.4
60.0,38.5,15.9,16.4
61.0,39.7,16.0,16.9
62.0,41.3,16.5,16.5
63.0,40.9,16.8,16.9
64.0,40.6,16.8,17.8
65.0,41.6,16.9,18.0440440440
66.0,43.2,17.2,17.6
67.0,42.4,17.5,17.8
68.0,42.4,17.5,19.0
69.0,43.9,17.9,18.8
70.0,45.9,18.0,17.3
71.0,44.5,18.2,19.7
72.0,44.3,18.5,20.6
73.0,46.0,18.5,19.7
74.0,46.7,18.8,20.4
75.0,47.6,18.9,19.6
76.0,48.2,19.1,20.3
77.0,49.8,19.3,19.7457457457
78.0,49.1,19.2,20.6
79.0,49.5,19.3,20.2
80.0,50.9,19.4,21.4
81.0,50.1,19.6,21.5
82.0,50.8,19.5,21.6
83.0,52.0,19.5,20.9
84.0,52.0,19.7,22.7
85.0,53.3,19.6,21.5
86.0,54.1,19.9,21.9
87.0,53.4,19.6,23.1
88.0,53.4,19.8,22.5
89.0,54.8,19.5,22.8
90.0,55.1,19.6,23.7
91.0,54.4,19.3,24.0
92.0,57.1,19.3,23.4
93.0,57.1,19.3,23.7
94.0,57.3683683684,18.9,23.9
95.0,58.4,18.7,23.4
96.0,57.2722722723,18.8,24.0
97.0,57.9,18.3,24.1
98.0,58.7,18.4,25.3
99.0,58.9,18.1,24.1
100.0,60.2,17.8,24.9
20.0,13.1,6.47847847848,6.5
21.0,14.1,6.66766766767,6.7
22.0,14.4,6.80180180180,7.2
23.0,15.1,7.02202202202,7.3
24.0,16.0,7.3,7.5
25.0,16.7,7.60360360360,7.8
26.0,17.0,7.6,8.2
27.0,18.1,7.9,8.1
28.0,18.8,8.2,8.5
29.0,19.1,8.47247247247,9.1
30.0,19.9,8.57657657658,9.3
31.0,21.0,8.87587587588,9.4
32.0,21.3,9.0,9.81481481481
33.0,22.2,9.35935935936,9.6
34.0,22.8,9.45845845846,10.5
35.0,22.8,9.7,10.2
36.0,23.9,10.0,10.9
37.0,24.5,10.3,10.8
38.0,24.8,10.4,11.5
39.0,25.6,10.7,11.6
40.0,26.5,10.7,12.2
41.0,27.4,11.2,12.1
42.0,27.8,11.3,12.4
43.0,28.2,11.5,12.7
44.0,29.1,11.7,12.5
45.0,29.8,12.1,13.3
46.0,29.0,12.3,14.0
47.0,29.8,12.5,13.9
48.0,31.3,12.7,14.3
49.0,32.4,13.0,13.3
50.0,31.6,13.2,14.9
51.0,32.9,13.5,14.5
52.0,33.4,13.9,15.3
53.0,34.2,14.0,15.2
54.0,34.4,14.3,15.2
55.0,36.3,14.6,15.6
56.0,36.2,14.8,16.1
57.0,36.4,15.1,16.4374374374
58.0,36.9,15.2,15.8
59.0,37.6,15.6,16.4
60.0,38.5,15.9,16.4
61.0,39.7,16.1,16.9
62.0,41.3,16.5,16.5
63.0,41.0,16.8,16.9
64.0,40.6,16.8,17.8
65.0,41.6,16.9,18.0380380380
66.0,43.2,17.2,17.6
67.0,42.4,17.5,17.7
68.0,42.4,17.5,19.0
69.0,43.9,18.0,18.8
70.0,45.9,18.0,17.3
71.0,44.5,18.2,19.7
72.0,44.3,18.5,20.6
73.0,46.0,18.6,19.7
74.0,46.7,18.8,20.4
75.0,47.6,18.9,19.6
76.0,48.2,19.1,20.2
77.0,49.8,19.3,19.7397397397
78.0,49.1,19.2,20.6
79.0,49.5,19.3,20.2
80.0,50.9,19.4,21.4
81.0,50.1,19.6,21.5
82.0,50.8,19.5,21.6
83.0,52.0,19.5,20.9
84.0,52.0,19.8,22.7
85.0,53.3,19.6,21.5
86.0,54.1,19.9,21.9
87.0,53.5,19.6,23.1
88.0,53.4,19.8,22.5
89.0,54.8,19.5,22.8
90.0,55.1,19.6,23.7
91.0,54.4,19.3,24.0
92.0,57.1,19.4,23.4
93.0,57.1,19.3,23.7
94.0,57.3743743744,19.0,23.9
95.0,58.4,18.8,23.4
96.0,57.2782782783,18.8,24.0
97.0,57.9,18.3,24.1
98.0,58.7,18.4,25.3
99.0,58.9,18.2,24.1
100.0,60.2,17.8,24.9
20.0,13.1,6.46646646647,6.5
21.0,14.1,6.65565565566,6.7
22.0,14.4,6.78978978979,7.2
23.0,15.1,7.01001001001,7.3
24.0,16.0,7.3,7.5
25.0,16.7,7.59159159159,7.8
26.0,17.0,7.6,8.2
27.0,18.1,7.9,8.1
28.0,18.8,8.2,8.5
29.0,19.1,8.46046046046,9.1
30.0,19.9,8.56456456456,9.3
31.0,21.0,8.86386386386,9.4
32.0,21.3,9.0,9.81881881882
33.0,22.2,9.34734734735,9.6
34.0,22.8,9.44644644645,10.5
35.0,22.8,9.7,10.2
36.0,24.0,10.0,10.9
37.0,24.5,10.2,10.8
38.0,24.8,10.4,11.5
39.0,25.6,10.7,11.6
40.0,26.6,10.7,12.2
41.0,27.4,11.2,12.1
42.0,27.8,11.3,12.4
43.0,28.3,11.5,12.7
44.0,29.1,11.7,12.5
45.0,29.8,12.0,13.3
46.0,29.0,12.3,14.0
47.0,29.8,12.5,13.9
48.0,31.3,12.6,14.3
49.0,32.4,13.0,13.3
50.0,31.6,13.2,14.9
51.0,32.9,13.4,14.5
52.0,33.5,13.9,15.3
53.0,34.2,14.0,15.2
54.0,34.4,14.3,15.2
55.0,36.3,14.6,15.6
56.0,36.2,14.8,16.1
57.0,36.4,15.1,16.4414414414
58.0,36.9,15.2,15.8
59.0,37.6,15.5,16.4
60.0,38.5,15.9,16.4
61.0,39.7,16.0,16.9
62.0,41.3,16.5,16.5
63.0,41.0,16.8,16.9
64.0,40.6,16.8,17.8
65.0,41.6,16.9,18.0420420420
66.0,43.2,17.2,17.6
67.0,42.4,17.5,17.8
68.0,42.4,17.5,19.0
69.0,43.9,17.9,18.8
70.0,45.9,18.0,17.3
71.0,44.5,18.2,19.7
72.0,44.3,18.5,20.6
73.0,46.0,18.6,19.7
74.0,46.7,18.8,20.4
75.0,47.6,18.9,19.6
76.0,48.2,19.1,20.2
77.0,49.8,19.3,19.7437437437
78.0,49.1,19.2,20.6
79.0,49.5,19.3,20.2
80.0,51.0,19.4,21.4
81.0,50.1,19.6,21.5
82.0,50.8,19.5,21.6
83.0,52.0,19.5,20.9
84.0,52.0,19.7,22.7
85.0,53.3,19.6,21.5
86.0,54.1,19.9,21.9
87.0,53.5,19.6,23.1
88.0,53.4,19.8,22.5
89.0,54.8,19.5,22.8
90.0,55.1,19.6,23.7
91.0,54.4,19.3,24.0
92.0,57.1,19.3,23.4
93.0,57.1,19.3,23.7
94.0,57.3793793794,19.0,23.9
95.0,58.4,18.7,23.4
96.0,57.2832832833,18.8,24.0
97.0,57.9,18.3,24.1
98.0,58.7,18.4,25.3
99.0,58.9,18.1,24.1
100.0,60.2,17.8,24.9
20.0,13.1,6.46846846847,6.5
21.0,14.1,6.65765765766,6.7
22.0,14.4,6.79179179179,7.2
23.0,15.1,7.01201201201,7.3
24.0,16.0,7.3,7.5
25.0,16.7,7.59359359359,7.8
26.0,17.0,7.6,8.2
27.0,18.1,7.9,8.1
28.0,18.8,8.2,8.5
29.0,19.1,8.46246246246,9.1
30.0,19.9,8.56656656657,9.3
31.0,21.0,8.86586586587,9.4
32.0,21.3,9.0,9.83083083083
33.0,22.2,9.34934934935,9.6
34.0,22.8,9.44844844845,10.5
35.0,22.8,9.7,10.2
36.0,24.0,10.0,10.9
37.0,24.5,10.3,10.9
38.0,24.8,10.4,11.6
39.0,25.6,10.7,11.7
40.0,26.6,10.7,12.2
41.0,27.4,11.2,12.1
42.0,27.8,11.3,12.4
43.0,28.3,11.5,12.7
44.0,29.1,11.7,12.5
45.0,29.8,12.0,13.3
46.0,29.0,12.3,14.0
47.0,29.8,12.5,14.0
48.0,31.3,12.7,14.3
49.0,32.4,13.0,13.3
50.0,31.6,13.2,14.9
51.0,32.9,13.4,14.5
52.0,33.5,13.9,15.4
53.0,34.2,14.0,15.2
54.0,34.4,14.3,15.2
55.0,36.3,14.6,15.6
56.0,36.2,14.8,16.1
57.0,36.4,15.1,16.4534534535
58.0,36.9,15.2,15.8
59.0,37.6,15.6,16.5
60.0,38.5,15.9,16.5
61.0,39.7,16.0,16.9
62.0,41.3,16.5,16.5
63.0,41.0,16.8,16.9
64.0,40.6,16.8,17.8
65.0,41.6,16.9,18.0540540541
66.0,43.2,17.2,17.6
67.0,42.4,17.5,17.8
68.0,42.4,17.5,19.1
69.0,43.9,17.9,18.8
70.0,45.9,18.0,17.3
71.0,44.5,18.2,19.7
